,matchId,label,numbGoals,goals_home,goals_away,team_home,team_away,id_home,id_away,xG_home,shots_home,xG_away,shots_away
0,2517036,"Bayern München - Stuttgart, 1 - 4",5,1,4,Bayern München,Stuttgart,2444,2445,1.4075079070557404,15.0,1.2584365140600684,7.0
1,2517037,"Hoffenheim - Borussia Dortmund, 3 - 1",4,3,1,Hoffenheim,Borussia Dortmund,2482,2447,1.4709686859325533,11.0,0.9470464619352319,10.0
2,2517038,"Hertha BSC - RB Leipzig, 2 - 6",8,2,6,Hertha BSC,RB Leipzig,2457,2975,1.3302711104980298,8.0,1.25675280769032,17.0
3,2517039,"Freiburg - Augsburg, 2 - 0",2,2,0,Freiburg,Augsburg,2453,2481,1.3074697073955877,11.0,0.18067702659820817,4.0
4,2517040,"Schalke 04 - Eintracht Frankfurt, 1 - 0",1,1,0,Schalke 04,Eintracht Frankfurt,2449,2462,0.9204094712033954,11.0,0.3914318810740523,5.0
5,2517041,"Bayer Leverkusen - Hannover 96, 3 - 2",5,3,2,Bayer Leverkusen,Hannover 96,2446,2455,3.6664017797341915,26.0,1.500971847918046,11.0
6,2517042,"Hamburger SV - Borussia M'gladbach, 2 - 1",3,2,1,Hamburger SV,Borussia M'gladbach,2450,2454,2.425496320023915,17.0,1.0217458613282673,8.0
7,2517043,"Mainz 05 - Werder Bremen, 1 - 2",3,1,2,Mainz 05,Werder Bremen,2460,2443,1.2774994832592006,14.0,0.8704477728744962,13.0
8,2517044,"Wolfsburg - Köln, 4 - 1",5,4,1,Wolfsburg,Köln,2451,2463,2.4657084107542673,18.0,0.6956168027342082,7.0
9,2517027,"Borussia Dortmund - Mainz 05, 1 - 2",3,1,2,Borussia Dortmund,Mainz 05,2447,2460,1.057247497988345,10.0,0.5623123390822787,5.0
10,2517028,"RB Leipzig - Wolfsburg, 4 - 1",5,4,1,RB Leipzig,Wolfsburg,2975,2451,1.595098561311157,13.0,1.0840504262033286,9.0
11,2517029,"Köln - Bayern München, 1 - 3",4,1,3,Köln,Bayern München,2463,2444,0.8930994652661832,9.0,2.6773551250183587,16.0
12,2517030,"Werder Bremen - Bayer Leverkusen, 0 - 0",0,0,0,Werder Bremen,Bayer Leverkusen,2443,2446,0.2250415171629508,4.0,0.7310283597553997,8.0
13,2517031,"Borussia M'gladbach - Freiburg, 3 - 1",4,3,1,Borussia M'gladbach,Freiburg,2454,2453,2.185785285187585,17.0,1.9226002852324267,20.0
14,2517032,"Eintracht Frankfurt - Hamburger SV, 3 - 0",3,3,0,Eintracht Frankfurt,Hamburger SV,2462,2450,1.1647184542624285,14.0,0.5397654591131991,11.0
15,2517033,"Augsburg - Schalke 04, 1 - 2",3,1,2,Augsburg,Schalke 04,2481,2449,0.7811577841134538,12.0,1.2845619509158064,12.0
16,2517034,"Hannover 96 - Hertha BSC, 3 - 1",4,3,1,Hannover 96,Hertha BSC,2455,2457,1.2607745320756543,11.0,1.4055881110712791,15.0
17,2517035,"Stuttgart - Hoffenheim, 2 - 0",2,2,0,Stuttgart,Hoffenheim,2445,2482,0.5846130802388798,5.0,2.6261062700709155,21.0
18,2517022,"Werder Bremen - Borussia Dortmund, 1 - 1",2,1,1,Werder Bremen,Borussia Dortmund,2443,2447,1.7234854705053064,17.0,2.3344330520245924,17.0
19,2517025,"Mainz 05 - RB Leipzig, 3 - 0",3,3,0,Mainz 05,RB Leipzig,2460,2975,2.013233164307052,16.0,0.9374237875647442,6.0
20,2517024,"Bayer Leverkusen - Stuttgart, 0 - 1",1,0,1,Bayer Leverkusen,Stuttgart,2446,2445,3.1919782581206473,21.0,0.1599985162340604,4.0
21,2517018,"Bayern München - Eintracht Frankfurt, 4 - 1",5,4,1,Bayern München,Eintracht Frankfurt,2444,2462,1.0490696682295473,11.0,0.9667477786667785,10.0
22,2517020,"Hertha BSC - Augsburg, 2 - 2",4,2,2,Hertha BSC,Augsburg,2457,2481,1.934409290434194,7.0,0.8989256457864102,12.0
23,2517021,"Freiburg - Köln, 3 - 2",5,3,2,Freiburg,Köln,2453,2463,3.110519369698104,14.0,1.3967236868257447,12.0
24,2517023,"Schalke 04 - Borussia M'gladbach, 1 - 1",2,1,1,Schalke 04,Borussia M'gladbach,2449,2454,1.863202603518492,10.0,1.6773243176186825,11.0
